Timestamp,Timezone Offset,775.maxbotix-mb7386-distance
02/11/2019 03:23,+01:00,1913
02/11/2019 03:33,+01:00,1911
02/11/2019 03:53,+01:00,1918
02/11/2019 04:03,+01:00,1909
02/11/2019 04:13,+01:00,1912
02/11/2019 04:23,+01:00,1922
02/11/2019 04:33,+01:00,1916
02/11/2019 04:53,+01:00,1912
02/11/2019 05:03,+01:00,1910
02/11/2019 05:13,+01:00,1905
02/11/2019 05:23,+01:00,1900
02/11/2019 05:33,+01:00,1901
02/11/2019 05:43,+01:00,1894
02/11/2019 05:53,+01:00,1887
02/11/2019 06:03,+01:00,1885
02/11/2019 06:13,+01:00,1882
02/11/2019 06:23,+01:00,1861
02/11/2019 06:33,+01:00,1842
02/11/2019 06:43,+01:00,1826
02/11/2019 06:53,+01:00,1806
02/11/2019 07:03,+01:00,1790
02/11/2019 07:13,+01:00,1799
02/11/2019 07:23,+01:00,1794
02/11/2019 07:33,+01:00,1780
02/11/2019 07:43,+01:00,1781
02/11/2019 07:53,+01:00,1782
02/11/2019 08:03,+01:00,1759
02/11/2019 08:13,+01:00,1754
02/11/2019 08:23,+01:00,1742
